"","V1","V2","V3","V4","V5"
"4130",21437.22,0.5,0.49,468.01,1917.65
"4131",20946.13,0.51,0.5,446.2,1905.93
"4132",21992.21,0.49,0.48,490.66,1928.58
"4133",20495.21,0.52,0.51,426.18,1894.91
"4134",21665.86,0.49,0.48,476.16,1921.02
"4135",21302,0.5,0.49,460.01,1912.45
"4136",22328.96,0.48,0.47,503.61,1934.27
"4137",20834.69,0.51,0.5,441.25,1903.23
"4138",22136.09,0.48,0.47,497.05,1931.88
"4139",21549.94,0.5,0.49,471.02,1918.31
"4140",22713.68,0.47,0.46,520.7,1942.92
"4141",21010.08,0.51,0.5,447.04,1905.47
"4142",22300.32,0.48,0.47,502.34,1933.62
"4143",21832.43,0.49,0.48,481.56,1922.9
"4144",22971.6,0.46,0.45,530.15,1946.63
"4145",21757.57,0.49,0.48,482.24,1925.16
"4146",22855.66,0.46,0.46,529,1948.07
"4147",22565.72,0.47,0.46,516.13,1941.61
"4148",23523.65,0.45,0.44,556.67,1960.65
"4149",22560.47,0.47,0.46,515.89,1941.49
"4150",23629.84,0.45,0.44,561.38,1962.93
"4151",23662.48,0.45,0.44,562.83,1963.63
"4152",24563.85,0.42,0.42,600.86,1980.54
"4153",22298.24,0.48,0.47,504.25,1935.58
"4154",23514.54,0.45,0.44,556.26,1960.45
"4155",23136.48,0.46,0.45,539.47,1952.25
"4156",24204.96,0.43,0.43,584.92,1973.09
"4157",22983.02,0.46,0.45,532.66,1948.88
"4158",24158.83,0.43,0.43,582.87,1972.13
